No,NIM,Pilihan 1,Pilihan 2,Peminatan,MP1,MP2,MP3
1068,1202162137,ISM,EDM,ISM,0,4,0
1069,1202162144,EDM,EA,EDM,3,5,0,0
1070,1202162175,EIM,EAD,EIM,3,5,0,0
1071,1202162198,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1072,1202162252,EA,EAD,EAA,3,5,0,0
1073,1202162274,TECHNO,ERP,TECHNO,4,0,0
1074,1202162310,EIM,EAD,EIM,3,5,0,0
1075,1202162319,ERP,EDM,ERP,3,5,0,0
1076,1202162336,ISM,TECHNO,ISM,0,4,0
1077,1202162337,EDM,ERP,EDM,3,5,0,0
1078,1202162343,TECHNO,EA,TECHNO,4,0,0
1079,1202162356,EIM,EAD,EIM,3,5,0,0
1080,1202162369,TECHNO,ISM,TECHNO,0,0,0
1081,1202162376,ERP,EDM,ERP,4,0,0
1082,1202162378,ERP,EDM,ERP,4,0,0
1083,1202162384,EA,EDM,EAA,3,5,0,0
1084,1202162386,EIM,EDM,EDM,0,0,0
1085,1202162389,ERP,EDM,ERP,3,5,0,0
1086,1202163018,EAD,EA,EAD,0,0,3
1087,1202163060,ISM,EDM,ISM,0,3,5,0
1088,1202163099,ERP,EDM,ERP,3,5,0,0
1089,1202163104,EA,EDM,EAA,3,5,0,0
1090,1202163115,EIM,TECHNO,EIM,3,5,0,0
1091,1202163119,TECHNO,EIM,TECHNO,4,0,0
1092,1202163163,EA,EDM,EAA,4,0,0
1093,1202163170,ISM,TECHNO,ISM,0,3,5,0
1094,1202163220,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1095,1202163239,ERP,EDM,ERP,3,5,0,0
1096,1202163246,TECHNO,ISM,TECHNO,4,0,0
1097,1202163259,EIM,EAD,EIM,3,5,0,0
1098,1202163291,ISM,EAD,ISM,3,5,0,0
1099,1202163296,EA,EDM,EAA,3,5,0,0
1100,1202163401,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1101,1202163402,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1102,1202164001,ISM,EDM,ISM,0,0,0
1103,1202164003,EIM,EAD,EIM,3,5,0,0
1104,1202164005,EIM,TECHNO,EIM,3,5,0,0
1105,1202164007,EIM,EDM,EIM,3,5,0,0
1106,1202164008,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1107,1202164012,ISM,EDM,ISM,0,4,0
1108,1202164014,TECHNO,ISM,TECHNO,4,0,0
1109,1202164016,EAD,EIM,EAD,0,0,2
1110,1202164017,EDM,EIM,EDM,3,5,0,0
1111,1202164021,EAD,EA,EAD,0,0,2
1112,1202164022,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1113,1202164025,EIM,EDM,EIM,3,5,0,0
1114,1202164026,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1115,1202164027,ISM,EAD,ISM,0,0,0
1116,1202164029,EIM,EAD,EIM,3,5,0,0
1117,1202164031,EIM,EIM,EIM,3,5,0,0
1118,1202164032,TECHNO,ERP,TECHNO,4,0,0
1119,1202164033,Tidak Memilih,Tidak Memilih,Tidak Memilih,0,0,0
1120,1202164035,ISM,EAD,ISM,0,3,5,0
1121,1202164037,EA,TECHNO,EA,0,0,0
1122,1202164038,EA,EDM,EAA,3,5,0,0
