No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Peminatan,MP1,MP2,MP3,Status,Tanggal Lulus,Keterangan
72,1202150078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
73,1202150079,4,2.5,4,3.5,3.5,4,3.5,2,3.5,4,3.5,4,3.5,3.5,3,3.5,3.5,3.5,4,3.5,EAD,EAD,3.5,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
74,1202150080,3.5,2,4,3,2,3.5,3.5,3.5,3,3.5,4,3.5,3.5,3.5,2,2,3,3,2.5,3.5,ISM,ISM,3.5,3.5,3.5,GRADUATED,05/07/19,TEPAT WAKTU
75,1202150081,2,2.5,0,2.5,2.5,2.5,1,1,3,2,3,3,2.5,3,3,2,2.5,3.5,3,3.5,EA,EA,2,3,0,STUDENT,OUT,TIDAK TEPAT WAKTU
76,1202150082,3,4,4,4,4,4,3,3.5,2.5,4,3.5,4,3,3.5,3.5,3,3.5,3.5,3.5,3.5,TECHNO,TECHNO,3.5,4,4,GRADUATED,30/08/19,TEPAT WAKTU
77,1202150083,2.5,2,3.5,3,2.5,2,0,0,3.5,0,2.5,4,1,0,0,0,0,1,2,3,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
78,1202150084,2.5,3.5,4,3.5,4,3.5,3,4,2.5,4,2.5,4,4,4,3.5,3,2.5,3.5,4,3.5,EAD,EAD,3.5,4,3.5,GRADUATED,28/06/19,TEPAT WAKTU
79,1202150085,2.5,2,3.5,2,3.5,2,3.5,2,2.5,3.5,3.5,4,3,3.5,3,3,3.5,3,3,3.5,EA,EA,2.5,3,3.5,GRADUATED,05/07/19,TEPAT WAKTU
80,1202150086,2.5,3.5,3,4,3.5,3.5,4,4,3,3.5,3.5,4,3.5,3.5,3.5,3,3.5,3.5,3.5,3.5,ERP,ERP,3.5,3,3.5,GRADUATED,30/08/19,TEPAT WAKTU
81,1202150087,3.5,3,3.5,3,3.5,3,4,4,2.5,4,3,3.5,4,3.5,3,3.5,3.5,3.5,2.5,3.5,EA,EA,4,2.5,4,GRADUATED,28/06/19,TEPAT WAKTU
82,1202150088,3.5,2.5,4,3.5,3,3.5,1,2,2,3.5,4,4,3.5,3.5,3,3.5,3.5,3,3.5,3.5,EIM,EIM,3.5,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
83,1202150089,2,3.5,3,4,3,2.5,2,1,3,2.5,3.5,3,3.5,3.5,2.5,2,2,3,3.5,4,ISM,ISM,4,4,3.5,GRADUATED,05/07/19,TEPAT WAKTU
84,1202150090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
85,1202150091,3.5,3,4,3.5,3.5,3.5,0,0,2,3.5,3.5,4,2.5,2,3,1,2,4,3.5,2,ERP,ERP,0,4,3.5,STUDENT,OUT,TIDAK TEPAT WAKTU
86,1202150092,3,3,3,3.5,4,2.5,2.5,2.5,2.5,3.5,3.5,4,4,2,3.5,3.5,2.5,3,3.5,2,ERP,ERP,3.5,2,3.5,GRADUATED,16/08/19,TEPAT WAKTU
87,1202150093,3.5,3,3.5,2,4,3.5,4,3.5,3,4,4,4,4,3.5,3,4,4,3,4,4,EIM,EIM,3.5,4,3.5,GRADUATED,28/06/19,TEPAT WAKTU
88,1202150094,3,3,2,0,3.5,2,2,0,2,3,4,4,3.5,3.5,2,2.5,2.5,3,3.5,3.5,EA,EA,4,3,0,STUDENT,OUT,TIDAK TEPAT WAKTU
89,1202150095,2,0,2.5,2,2.5,0,3,3,3,1,3,4,3,3,1,2,3,2.5,3,3.5,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
90,1202150096,2.5,2,3.5,1,1,2,3.5,1,2.5,3,4,4,0,0,2.5,2,0,0,2,2.5,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
91,1202150097,4,3,3.5,3,3,3.5,2.5,2,3.5,3.5,4,2.5,3,3.5,3.5,4,3.5,3,4,3.5,TECHNO,TECHNO,4,4,3.5,GRADUATED,30/08/19,TEPAT WAKTU
92,1202150098,1,3,3,3.5,2.5,1,1,2.5,3.5,3.5,2,4,2.5,2.5,2.5,2.5,3,3.5,2,1,EA,EA,1,2,3,STUDENT,OUT,TIDAK TEPAT WAKTU
93,1202150099,2.5,3,3.5,3.5,3.5,2,2.5,1,4,3.5,3.5,4,3,3.5,3,4,3.5,3,4,4,EIM,EIM,3.5,4,4,GRADUATED,28/06/19,TEPAT WAKTU
94,1202150100,3,3.5,3,3,4,3.5,2.5,2,3.5,4,2.5,4,3.5,3,3.5,4,4,3.5,4,4,EIM,EIM,3.5,4,4,GRADUATED,05/07/19,TEPAT WAKTU
95,1202150101,3.5,3.5,3,2.5,3.5,3.5,1,1,3.5,3.5,4,4,3.5,3.5,3,3.5,2.5,3.5,4,3.5,ERP,ERP,3.5,3.5,3.5,GRADUATED,30/08/19,TEPAT WAKTU
96,1202150102,0,0,0,0,0,0,0,0,3,0,3.5,3,0,0,0,0,0,0,1,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
97,1202150103,3,3.5,3.5,3.5,3.5,3,3.5,4,2.5,3.5,3.5,3.5,4,4,3.5,4,2.5,3.5,3.5,4,ERP,ERP,3.5,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
98,1202150104,2.5,2.5,3.5,3,3.5,3.5,3.5,2,2.5,3.5,4,4,3.5,3,3.5,2,3,3.5,3,3.5,EAD,EAD,2.5,3.5,3,GRADUATED,16/08/19,TEPAT WAKTU
99,1202150105,0,0,0,0,0,0,0,2.5,2,0,3,2,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
100,1202150106,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,OUT,OUT,0,0,0,RESIGN,OUT,TIDAK TEPAT WAKTU
101,1202150107,4,0,0,0,0,0,0,0,4,3.5,3.5,4,3,0,0,0,4,0,3.5,0,OUT,OUT,0,0,0,STUDENT,OUT,TIDAK TEPAT WAKTU
102,1202150108,2,3.5,3.5,2.5,3.5,2.5,2.5,0,3,3.5,3,4,4,2.5,3.5,4,3,3,4,4,EIM,EIM,4,4,4,GRADUATED,30/08/19,TEPAT WAKTU
103,1202150109,2.5,3,3.5,3.5,3.5,2.5,3,2,3,3.5,3.5,4,2.5,1,2.5,3.5,2,3.5,3.5,2.5,EIM,EIM,2,4,3.5,GRADUATED,10/07/19,TEPAT WAKTU
