,No,NIM,OOP,RPB,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,Manprosi,Lulus Tepat Waktu
112,113,1202160237,3.5,3.5,3.5,3.5,2.5,2.5,2.0,3.5,2.5,3.0,2.0,3.5,2.5,4.0,3.5,2.0,3.5,2.5,3.5,1
113,114,1202160240,2.5,3.5,3.5,3.5,2.5,2.5,1.0,3.5,3.5,3.5,2.0,3.0,3.5,2.5,3.0,3.0,4.0,4.0,2.0,1
114,115,1202160247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
115,116,1202160248,3.5,4.0,3.5,4.0,3.0,3.5,4.0,4.0,3.5,2.5,2.0,4.0,3.5,3.0,3.5,3.5,3.5,4.0,2.5,1
116,117,1202160251,4.0,4.0,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.0,1
117,118,1202160253,4.0,3.5,4.0,4.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.5,3.5,4.0,3.5,4.0,3.5,3.5,3.0,1
118,119,1202160255,3.0,3.5,2.5,3.5,3.5,0.0,1.0,2.5,3.0,2.0,2.0,1.0,2.0,0.0,3.5,3.5,2.5,2.0,2.5,1
119,120,1202160256,3.5,4.0,4.0,3.5,3.5,3.5,4.0,3.5,2.5,3.5,3.5,3.5,4.0,4.0,3.5,3.5,4.0,3.5,2.0,1
120,121,1202160257,2.0,3.0,2.0,2.0,2.0,2.5,1.0,3.5,3.0,2.5,2.0,0.0,2.5,1.0,2.5,2.0,3.0,3.0,3.5,1
121,122,1202160258,3.5,3.5,4.0,4.0,4.0,4.0,3.5,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.0,3.0,4.0,3.5,4.0,1
122,123,1202160262,3.0,2.5,0.0,3.0,2.0,0.0,2.5,2.0,2.5,2.5,3.0,2.5,2.0,3.0,2.0,2.0,2.5,2.0,2.0,0
123,124,1202160264,4.0,4.0,4.0,3.5,3.5,3.5,2.0,4.0,3.5,4.0,3.5,3.0,3.5,4.0,4.0,3.5,4.0,4.0,2.5,1
124,125,1202160265,2.5,0.0,2.0,2.5,0.0,2.0,2.0,4.0,2.0,3.5,2.0,2.0,0.0,0.0,2.5,0.0,0.0,3.0,0.0,0
125,126,1202160266,3.5,3.5,3.5,4.0,4.0,2.0,3.0,3.5,3.5,3.0,2.5,3.0,3.5,2.0,2.0,3.0,3.5,3.0,2.5,1
126,127,1202160267,3.0,2.5,3.5,4.0,3.5,1.0,1.0,3.5,3.0,2.5,2.5,2.5,3.5,3.0,2.5,2.5,3.5,2.5,2.0,1
127,128,1202160268,3.5,3.0,3.5,3.0,3.0,2.0,2.5,3.5,3.0,2.5,3.5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1
128,129,1202160269,3.5,3.0,3.5,3.5,4.0,2.0,2.0,2.5,3.0,3.0,2.5,3.0,3.5,3.0,3.5,3.0,3.5,2.5,3.5,1
129,130,1202160277,3.5,3.5,4.0,3.5,4.0,3.5,4.0,4.0,3.5,3.5,3.0,4.0,3.5,3.5,3.0,4.0,3.5,2.5,3.0,1
130,131,1202160278,2.5,2.0,3.5,3.5,2.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.5,2.5,2.0,2.0,2.0,2.0,1
131,132,1202160281,4.0,3.5,3.5,3.5,2.5,3.0,1.0,4.0,3.0,3.5,2.5,2.5,3.5,4.0,3.5,3.0,3.5,3.5,2.0,1
132,133,1202160282,3.5,4.0,4.0,3.5,2.5,3.5,4.0,4.0,3.0,3.5,3.0,4.0,4.0,3.5,3.0,3.0,4.0,3.5,2.0,1
133,134,1202160283,4.0,4.0,3.5,4.0,4.0,3.5,4.0,4.0,4.0,3.5,2.5,3.5,3.5,3.5,2.5,3.5,3.5,3.5,3.0,1
134,135,1202160288,4.0,4.0,3.5,4.0,2.5,4.0,4.0,4.0,4.0,4.0,3.5,4.0,3.5,4.0,3.5,3.5,4.0,3.5,3.0,1
135,136,1202160292,3.5,3.5,3.5,4.0,3.5,4.0,3.5,4.0,3.5,3.5,3.5,3.5,4.0,3.5,3.0,3.0,3.5,3.5,2.0,1
136,137,1202160293,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,3.0,1
137,138,1202160294,4.0,3.5,3.5,3.5,4.0,4.0,3.0,4.0,3.5,3.5,3.0,4.0,3.5,4.0,4.0,4.0,3.5,3.5,3.5,1
138,139,1202160295,3.0,2.5,0.0,3.0,2.5,1.0,0.0,2.0,1.0,2.5,2.0,1.0,3.0,3.0,3.0,3.5,3.0,2.0,3.5,1
139,140,1202160297,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.5,0
140,141,1202160299,2.5,3.5,3.0,3.5,3.5,1.0,3.5,2.5,3.0,3.0,2.5,3.0,3.5,2.5,2.0,3.0,3.5,3.0,2.5,1
141,142,1202160300,2.5,3.5,3.5,4.0,3.0,1.0,2.5,3.5,3.5,3.0,3.0,3.5,3.5,3.0,1.0,3.5,3.5,2.5,1.0,1
142,143,1202160303,4.0,4.0,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,3.5,4.0,3.5,3.5,4.0,1
143,144,1202160308,3.5,3.0,0.0,3.5,2.0,0.0,2.5,3.5,3.0,2.5,2.5,3.0,2.5,2.0,1.0,2.0,2.0,2.0,1.0,0
144,145,1202160313,2.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,3.5,2.5,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0
145,146,1202160316,3.5,3.0,3.5,4.0,3.5,2.5,3.0,4.0,3.0,3.5,3.0,3.0,4.0,2.5,2.0,3.5,3.0,3.5,2.5,1
146,147,1202160320,3.0,3.0,2.0,3.5,3.0,3.5,3.0,3.5,2.5,3.0,3.0,3.0,3.5,2.0,2.0,2.5,3.5,3.0,2.5,1
147,148,1202160321,3.5,3.0,3.5,2.0,3.5,3.0,2.5,3.5,3.5,3.5,3.0,3.0,2.5,2.5,2.5,3.5,3.0,2.5,2.5,1
148,149,1202160322,3.0,3.5,3.0,3.0,3.5,1.0,3.5,2.0,2.5,3.5,2.0,2.0,3.0,3.5,3.0,3.5,3.5,2.5,3.0,1
149,150,1202160324,3.5,3.5,4.0,3.5,2.5,3.0,1.0,3.5,2.0,3.5,3.0,3.5,4.0,4.0,3.5,3.0,3.5,4.0,2.5,1
150,151,1202160325,4.0,4.0,4.0,3.5,2.0,3.5,4.0,4.0,3.0,3.5,2.5,3.5,4.0,2.5,3.5,3.5,4.0,4.0,3.0,1
151,152,1202160326,3.5,3.5,3.5,4.0,3.5,2.0,3.5,3.0,2.5,3.5,3.5,0.0,3.5,3.5,1.0,2.5,3.5,3.5,2.5,0
152,153,1202160327,2.5,2.5,3.5,3.5,3.5,0.0,1.0,2.5,3.5,3.0,2.5,3.5,3.5,3.0,2.0,2.0,3.0,2.0,2.0,1
153,154,1202160330,2.0,1.0,0.0,3.0,1.0,1.0,2.0,3.5,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0
154,155,1202160332,4.0,3.5,4.0,3.5,2.0,3.5,2.0,3.5,3.0,3.5,2.5,2.0,4.0,3.5,3.0,2.5,3.0,3.5,2.0,1
155,156,1202160333,3.0,3.5,3.5,3.5,2.5,3.0,2.5,3.5,2.0,3.5,2.5,3.5,0.0,2.5,3.0,2.5,3.5,3.5,2.5,1
