No,NIM,OOP,RPB,RPL,PI,APSI,WEB,Statistik,Matdis,Alpro,Strukdat,SE,PO,SCM,EA,Basdat,Manjarkom,Sisop,MSDM,Desjar,KSI,Pilihan 1,Pilihan 2,Peminatan
162,1202160347,1,0,0,0,0,0,0,2,1,1,3,1,0,0,0,2,1,0,0,0,0,0,
163,1202160352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
164,1202160353,3.5,3,0,3.5,4,3.5,3.5,4,3.5,3.5,3.5,3,3,3.5,3.5,3.5,3.5,3.5,3,0,EA,EAD,EAA
165,1202160354,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,1202160355,1,0,0,0,0,0,0,1,1,1,2.5,1,0,0,0,2,1,0,0,0,0,0,
167,1202160357,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
168,1202160358,3.5,3.5,0,3.5,3.5,3.5,2.5,3.5,3.5,3.5,2.5,3,3,3.5,3,1,3.5,2.5,3,0,EIM,EDM,EDM
169,1202160360,3.5,3,0,3.5,3.5,3.5,2,2.5,3.5,3.5,2.5,3,3.5,3,3.5,2.5,3,3.5,3,0,EDM,EA,EDM
170,1202160362,2.5,2,0,2,2.5,1,3,1,1,1,2,1,0,2,0,2,2,0,2,0,ISM,TECHNO,ISM
171,1202160365,4,3.5,0,3,2.5,3,3.5,3.5,3.5,3,3,2.5,3,4,3.5,3,3.5,3.5,3.5,0,ERP,ERP,ERP
172,1202160370,3,2.5,0,2,3,3.5,2,3,3.5,3.5,2.5,3,2.5,3.5,2,1,2,4,2.5,0,EA,EDM,EDM
173,1202160372,4,4,0,4,3.5,3.5,3.5,4,4,4,4,3.5,4,4,4,4,4,3.5,3,0,EDM,ISM,EDM
174,1202160375,2,3.5,0,3,3.5,2,2.5,3.5,2,0,2,2,0,3,2.5,2.5,2.5,2.5,3.5,0,EA,EDM,EDM
175,1202160380,4,2,0,3,2.5,4,1,2.5,4,2,3,3.5,2,0,1,2,2.5,0,3.5,0,EIM,EAD,EIM
176,1202160381,3,2.5,0,3.5,3,3.5,2,3.5,3.5,2,3.5,2.5,3.5,3,3.5,3.5,4,2.5,2,0,EAD,ISM,EAD
177,1202160382,4,3.5,0,3.5,3.5,3.5,4,4,4,3.5,4,3.5,3.5,3.5,3.5,4,4,3,3,0,EIM,EDM,EIM
178,1202160383,3.5,3.5,0,3.5,3.5,3,2,2,3.5,2,3.5,2.5,3.5,3.5,4,3,3,3.5,2,0,EA,EAD,EAA
179,1202160385,4,3.5,0,4,3.5,3.5,3.5,4,4,3.5,3.5,2.5,3.5,3.5,3.5,3,3,3.5,4,0,EDM,EA,EDM
180,1202160396,1,3,0,3,2,2.5,2,2,2.5,3,2,3,2,0,1,0,2,2,2.5,0,ISM,ISM,ISM
181,1202160398,3,2.5,0,2.5,2.5,2.5,1,2.5,3.5,2,2.5,3.5,1,2,2,3,2,2.5,2,0,ISM,TECHNO,ISM
